JARVIS-ID,Spg.number,Spg.Symbol,Composition,Spillage,SO_dir,SO_indir,NSO_di,NSO_indir,Dimesniolity ,mpid,Type,?1,?2,?3,?4,?5,?6,Indirgap QE(eV),Dirgap QE (eV),Dirgap WT (eV),Indirgap WT (eV),Dirgap WT-dense (eV)
JVASP-36120,221,Pm-3m,HfPd3,0.697,0.039,-1.887,0,-2.05,3D,,,,,,,,,,,,,
JVASP-40335,225,Fm-3m,TbMgHg2,0.325,0.009,-1.887,0,-1.221,3D,,,,,,,,,,,,,
JVASP-37530,225,Fm-3m,YbPrRh2,0.19,0.005,-1.886,0,-1.82,3D,,,,,,,,,,,,,
JVASP-15339,139,I4/mmm,Nd(CoSi)2,0.048,0,-1.886,0.004,-1.185,3D,,,,,,,,,,,,,
JVASP-15532,139,I4/mmm,Sm(NiGe)2,0.045,0.002,-1.886,0.021,-1.625,3D,,,,,,,,,,,,,
JVASP-19885,221,Pm-3m,InRh,0.042,0.044,-1.886,0,-1.832,3D,,,,,,,,,,,,,
JVASP-37064,194,P6_3/mmc,TcB,0.207,0.002,-1.885,0,-1.829,3D,,,,,,,,,,,,,
JVASP-39709,225,Fm-3m,GaTc2W,0.426,0.002,-1.881,0,-1.837,3D,,,,,,,,,,,,,
JVASP-40551,225,Fm-3m,LiHfPt2,0.781,0.001,-1.88,0,-0.727,3D,,,,,,,,,,,,,
JVASP-39962,225,Fm-3m,CaPrAg2,0.065,0.002,-1.878,0,-1.308,3D,,,,,,,,,,,,,
JVASP-56838,225,Fm-3m,PaC,0.426,0.004,-1.875,0,-1.032,3D,,,,,,,,,,,,,
JVASP-40095,225,Fm-3m,CaYHg2,0.765,0.005,-1.874,0,-1.253,3D,,,,,,,,,,,,,
JVASP-16622,221,Pm-3m,TaTc,0.257,0.019,-1.873,0.018,-1.878,3D,,,,,,,,,,,,,
JVASP-17391,221,Pm-3m,Sc3SnC,0.016,0,-1.873,0,-0.356,3D,,,,,,,,,,,,,
JVASP-35972,166,R-3m,LiSnS2,0.004,0.005,-1.873,0.438,0.24,2D,,,,,,,,,,,,,
JVASP-41778,225,Fm-3m,CaSnRh2,0.452,0.001,-1.871,0,-2.08,3D,,,,,,,,,,,,,
JVASP-40596,225,Fm-3m,LiTm2Pt,0.693,0.007,-1.87,0,-1.936,3D,,,,,,,,,,,,,
JVASP-41569,225,Fm-3m,TiGaRu2,0.634,0,-1.868,0,-1.9,3D,,,,,,,,,,,,,
JVASP-41420,225,Fm-3m,TaZnRu2,0.387,0.003,-1.868,0,-1.7,3D,,,,,,,,,,,,,
JVASP-16446,221,Pm-3m,LiAu3,1.409,0,-1.866,0,-1.879,3D,,,,,,,,,,,,,
JVASP-41504,225,Fm-3m,Tm2MgIr,1.004,0.002,-1.864,0,-1.701,3D,,,,,,,,,,,,,
JVASP-40042,225,Fm-3m,YMgHg2,0.312,0.012,-1.864,0,-1.259,3D,,,,,,,,,,,,,
JVASP-39873,225,Fm-3m,LiHo2Rh,0.088,0,-1.864,0,-1.911,3D,,,,,,,,,,,,,
JVASP-40231,225,Fm-3m,Sc2CuPt,2.034,0.001,-1.863,0,-1.864,3D,,,,,,,,,,,,,
JVASP-39597,187,P-6m2,YZr,0.371,0.005,-1.863,0,-1.873,3D,,,,,,,,,,,,,
JVASP-36656,51,Pmma,VPt,1.423,0.013,-1.861,0,-2.164,3D,,,,,,,,,,,,,
JVASP-41927,225,Fm-3m,LiTm2Ru,0.126,0.01,-1.861,0,-0.549,3D,,,,,,,,,,,,,
JVASP-38878,225,Fm-3m,LiPr2Os,0.532,0,-1.859,0,-0.853,3D,,,,,,,,,,,,,
JVASP-916,194,P6_3/mmc,Lu,0.145,0.001,-1.859,0,-1.886,3D,,,,,,,,,,,,,
JVASP-35373,123,P4/mmm,InPPd5,0.11,0.014,-1.858,0,-1.919,3D,,,,,,,,,,,,,
